t [s];P [Pa];Q [m^3/s];A [m^2];P_f [Pa];P_b [Pa];Q_f [m^3/s];Q_b [m^3/s]
0.020069204152249137;10004.468369503591;1.0071606054620657e-05;0.00053337966332190506;-55.014824228385685;-98.242047330074541;-8.3459718046547455e-06;1.4903716744500806e-05
0.020415224913494814;10002.902101925845;1.0326535700372346e-05;0.00053331177380264204;-54.903983577170358;-99.863468514208407;-8.329156828640065e-06;1.5149692909580865e-05
0.020761245674740487;10001.391521392927;1.0589326841467083e-05;0.00053324629204921372;-54.712747664268747;-101.48175521794863;-8.3001455655941754e-06;1.5395193561281502e-05
0.021107266435986163;9999.9644706020881;1.0863838756213612e-05;0.00053318442581252101;-54.410708054985648;-103.09567803944262;-8.2543249327316621e-06;1.5640032194359038e-05
0.021453287197231836;9998.6525873898772;1.1154498022153661e-05;0.00053312754775739553;-53.966440857453144;-104.70407940238184;-8.1869277982983764e-06;1.5884033199795824e-05
0.021799307958477513;9997.4884532244705;1.1465896162023734e-05;0.00053307707180658441;-53.351335496935363;-106.30597961747213;-8.0936138221514955e-06;1.6127047954755574e-05
0.022145328719723186;9996.501658369898;1.1802224893130367e-05;0.00053303428241886276;-52.543773628145878;-107.90067473680358;-7.9711034136941344e-06;1.6368969667487242e-05
0.022491349480968859;9995.714525119356;1.2166657014319394e-05;0.00053300014895838843;-51.532774328744814;-109.48781121042201;-7.8177307225027394e-06;1.6609744703029792e-05
0.022837370242214536;9995.1383879451387;1.2560804741053338e-05;0.00053297516417823794;-50.320296384467312;-111.0674251742744;-7.6337929043121979e-06;1.6849378543352948e-05
0.023183391003460209;9994.7712519255638;1.2984376399567035e-05;0.00053295924250198849;-48.921664694900819;-112.63993955274043;-7.4216148085000838e-06;1.7087935347799153e-05
0.023529411764705885;9994.5973692366642;1.3435111299825353e-05;0.00053295170156840931;-47.363985556059099;-114.20611880455222;-7.1853085700305237e-06;1.7325531087856253e-05
0.023875432525951559;9994.5888691236942;1.3909013278352014e-05;0.00053295133293404582;-45.68283136077109;-115.76698760128969;-6.9302706650669319e-06;1.7562321210355961e-05
0.024221453287197235;9994.7091545222447;1.4400841305815313e-05;0.00053295654947462022;-43.917810719066225;-117.32372468599459;-6.6625098802800143e-06;1.7798484535394807e-05
0.024567474048442908;9994.9174380792447;1.4904765415641077e-05;0.00053296558223372796;-42.107825143330629;-118.87754577300376;-6.3879277327627045e-06;1.8034205491765128e-05
0.024913494809688585;9995.1736025679711;1.5415068519528708e-05;0.00053297669132103525;-40.286820051283577;-120.42958940105231;-6.1116738799599595e-06;1.8269656800407211e-05
0.025259515570934258;9995.4425640319696;1.5926773680973535e-05;0.00053298835519305918;-38.480681179761355;-121.98081750985261;-5.8376752930619885e-06;1.850498439147407e-05
0.025605536332179935;9995.6974747946915;1.6436099858938365e-05;0.00053299940956582162;-36.705657518870623;-123.53193894905246;-5.5683970097235647e-06;1.8740295800330346e-05
0.025951557093425608;9995.9213770163824;1.6940689551133065e-05;0.00053300911909483152;-34.968377400291175;-125.08336007095777;-5.3048445747241595e-06;1.8975652672267472e-05
0.026297577854671284;9996.1072360130565;1.7439598858069596e-05;0.00053301717877980812;-33.267235090547231;-126.63516283930174;-5.0467743917878267e-06;1.921106744151616e-05
0.026643598615916957;9996.2565755544565;1.7933083810254617e-05;0.00053302365475194351;-31.594512057565723;-128.18710560399575;-4.793015528316732e-06;1.9446503448778624e-05
0.026989619377162634;9996.377355822744;1.8422278680988175e-05;0.00053302889223542471;-29.938297859013225;-129.73863769107589;-4.5417611219370211e-06;1.9681877154582587e-05
0.027335640138408307;9996.4820379342164;1.8908906793171851e-05;0.00053303343161233228;-28.283410116006444;-131.28891995094227;-4.2907079442395598e-06;1.9917061256532791e-05
0.027681660899653984;9996.5866434173568;1.9395144072819514e-05;0.00053303796763819547;-26.611031798264115;-132.83684859973769;-4.037001375467281e-06;2.0151888306144595e-05
0.028027681660899657;9996.7110930863037;1.9883677691203596e-05;0.0005330433641342724;-24.897434580325317;-134.38108602655481;-3.7770417324793425e-06;2.0386155382422103e-05
0.028373702422145333;9996.8804528774253;2.0377904410469044e-05;0.00053305070799855516;-23.112654339960976;-135.92010648456508;-3.5062833364923247e-06;2.061963102338786e-05
0.028719723183391006;9997.1262126597794;2.0882138447421819e-05;0.00053306136462631854;-21.220136357301321;-137.45226472993352;-3.2191806883495712e-06;2.0852065638884068e-05
0.029065743944636683;9997.4865723970706;2.1401675711060781e-05;0.00053307699025255113;-19.178130204342402;-138.97589151423503;-2.9094000789128331e-06;2.1083205997159327e-05
0.029411764705882356;9998.004951765728;2.1942596678772781e-05;0.0005330994672115148;-16.943085572322381;-140.48941277045714;-2.570334749838081e-06;2.1312813305868214e-05
0.029757785467128033;9998.726475141526;2.251126931655642e-05;0.00053313075135506458;-14.474665967925908;-141.99148166525251;-2.1958654916100059e-06;2.1540683244933504e-05
0.030103806228373706;9999.6928258511271;2.3113608513849783e-05;0.00053317264873658881;-11.741459577532815;-143.48110679885278;-1.7812270047937742e-06;2.1766665414992361e-05
0.030449826989619382;10000.93640710792;2.3754229170724871e-05;0.00053322656227063774;-8.7261812621523589;-144.95775746656761;-1.3237970637494403e-06;2.1990679305992145e-05
0.030795847750865055;10002.475034755586;2.4435673002768988e-05;0.00053329326157664522;-5.4291967373525338;-146.42142874601569;-8.2363114901109302e-07;2.2212724171187883e-05
0.031141868512110732;10004.308348000937;2.5157883782703074e-05;0.0005333727275148505;-1.8695355484407159;-147.87265478774572;-2.8361611972643224e-07;2.2432881043382522e-05
0.031487889273356405;10006.416783148119;2.5918055684182375e-05;0.00053346410807321963;1.9169067726499307;-149.31246666963045;2.9080252642950742e-07;2.2651306341268227e-05
0.031833910034602078;10008.763413587325;2.6710899628224018e-05;0.0005335657986889925;5.8816868229429886;-150.742299637716;8.9227572888913722e-07;2.2868217797487211e-05
0.032179930795847758;10011.298360669532;2.7529284286902633e-05;0.00053367563405690795;9.9698579634656213;-152.16386165718683;1.5124678598275587e-06;2.3083874517280019e-05
0.032525951557093431;10013.964969790584;2.8365133137633863e-05;0.00053379115632236753;14.126641177180552;-153.57897962760327;2.1430687203466702e-06;2.3298553648714225e-05
0.032871972318339104;10016.706635033883;2.9210413129587181e-05;0.00053390991111352995;18.303565422460814;-154.98944087106463;2.7767250569836995e-06;2.3512526335796119e-05
0.033217993079584777;10019.473098035702;3.0058042153306103e-05;0.00053402972045627644;22.463105152926353;-156.39684588118826;3.4077440922657115e-06;2.372603537989413e-05
0.033564013840830451;10022.225232756044;3.0902570232686126e-05;0.0005341488897851179;26.581205153064936;-157.80248470369062;4.0324765525063745e-06;2.3939276486171776e-05
0.033910034602076131;10024.93769393368;3.1740543799204435e-05;0.00053426632220997727;30.647528069362998;-159.2072448231865;4.6493542192814351e-06;2.4152384289642055e-05
0.034256055363321804;10027.599256730482;3.2570529269449775e-05;0.00053438153271687507;34.663686051170991;-160.61155408461238;5.2586216621811439e-06;2.436542369611592e-05
0.034602076124567477;10030.211105450864;3.3392836118823349e-05;0.00053449457360694064;38.640234912585321;-162.01535636558555;5.8618802409857228e-06;2.4578386191600242e-05
0.03494809688581315;10032.783852031305;3.420905719311225e-05;0.000534605905064181;42.593661735138831;-163.4181120959318;6.4616311127838709e-06;2.4791189921112993e-05
0.03529411764705883;10035.334523123513;3.5021611794423148e-05;0.00053471626450149327;46.544512511545115;-164.81881570570965;7.0609911879410402e-06;2.5003682335618496e-05
0.035640138408304503;10037.884670290141;3.5833464284085821e-05;0.0005348265846142656;50.517197205571215;-166.21602723490179;7.6636635568917736e-06;2.5215644987346018e-05
0.035986159169550176;10040.460143454975;3.6648099304764077e-05;0.00053493798343965608;54.541173918089278;-167.60792213766058;8.2741171329287115e-06;2.5426801085295985e-05
0.036332179930795849;10043.092225264734;3.7469708978750982e-05;0.00053505181326120874;58.652519731708814;-168.99236778849183;8.8978249557004003e-06;2.5636827101537497e-05
0.036678200692041529;10045.819125427523;3.8303442817764183e-05;0.00053516972500584426;62.894612691087097;-170.36703478773984;9.541367650387892e-06;2.5845369656702028e-05
0.037024221453287202;10048.686551387653;3.9155528067616205e-05;0.00053529369260410325;67.316862836785617;-171.7295455416405;1.0212240920398065e-05;2.6052068060179339e-05
0.037370242214532876;10051.746290779451;4.003309974110369e-05;0.00053542595131950306;71.971041104479241;-173.07765347587463;1.0918298626494815e-05;2.6256581497540133e-05
